V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-83.5445,22.134466,517.4998,105.67897,99.15,5.01,14.44,15.56
-87.69098,21.530546,506.1554,109.22153,72.86,2.41,7.57,8.370000000000001
-75.25002,31.792614,533.2166,107.04263,99.17,5.11,22.91,24.21
-72.80063,33.904686,541.6921,106.705315,99.17,4.55,22.990000000000002,24.01
-72.29563,33.76941,542.3534,106.06504,99.13,3.64,20.31,21.29
-83.0538,26.936089,517.84393,109.98989,99.17,5.72,17.740000000000002,18.86
-78.98634,28.952703,517.1737,107.93905,99.11,2.18,13.55,14.34
-74.897156,33.084152,529.41034,107.98131,99.15,2.11,15.950000000000001,16.89
-73.692474,29.811794,532.14825,103.50427,99.16,3.25,16.52,17.44
-71.10787,31.627188,540.47955,102.73506,99.11,3.5100000000000002,18.91,19.84
-78.746,21.214567,507.92123,99.96057,47.86,1.48,5.49,6.18
-72.16783,24.757626,522.52057,96.92546,99.16,2.72,10.17,10.82
-71.35247,16.912127,513.0695,88.264595,37.53,1.24,3.79,4.37
-74.84347,30.885496,529.68353,105.728966,99.15,4.57,18.96,19.8
-87.46654,14.718928,511.695,102.18546,97.88,3.2800000000000002,8.790000000000001,9.9
-85.66542,22.39176,515.75446,108.05718,99.17,6.32,16.18,17.37
-76.55782,28.29086,526.05835,104.84868,99.17,4.05,16.14,17.07
-70.1449,28.991144,536.20184,99.13604,38.06,1.86,12.61,13.26
-78.2188,24.509003,519.0856,102.727806,99.17,4.2700000000000005,14.200000000000001,15.09
-86.56915,25.280544,509.34802,111.8497,99.17,2.69,11.26,12.16
-87.50533,25.073126,516.17255,112.57846,99.15,4.48,15.52,16.76
-84.56394,15.636069,505.8464,100.20001,99.25,2.25,5.92,6.67
-72.56648,22.903883,517.7641,95.47037,99.17,1.9100000000000001,8.370000000000001,9.05
-85.98222,14.048493,507.7652,100.030716,99.31,3.36,7.97,8.88
-83.26849,29.924236,516.34564,113.19273,99.17,4.08,16.84,17.900000000000002
-80.767975,27.740042,521.5505,108.50802,99.14,6.0600000000000005,19.46,20.580000000000002
-86.34056,16.041256,506.14053,102.38182,99.16,2.58,6.98,7.69
-82.160995,18.86958,516.85986,101.03058,99.17,5.22,13.5,14.51
-74.691414,25.89379,523.43286,100.585205,98.89,2.37,12.1,12.790000000000001
-81.85665,22.687616,517.3938,104.544266,99.17,4.8100000000000005,14.65,15.65
-87.830765,31.054651,515.85754,118.885414,99.06,4.0600000000000005,17.11,18.26
-86.42325,32.924225,520.91113,119.34747,99.17,5.59,25.63,26.92
-77.865456,25.90584,518.2442,103.77129,99.17,3.5700000000000003,14.31,15.11
