dVmax,ADP90,ADP50,Vreps,tdV
0.92436,125,113,-74.2482,5.91955
2.08831,124,113,-78.0076,5.86955
2.12264,135,124,-81.0551,5.92955
0.996813,182,169,-71.7104,5.84955
1.56489,86,79,-76.051,5.88955
3.30692,159,149,-82.5091,5.88955
2.28769,203,193,-79.6833,5.88955
0.956501,56,48,-72.334,5.88955
3.73951,138,124,-83.6761,5.87955
3.69418,130,118,-84.1662,5.90955
1.20335,91,80,-75.6856,5.90955
0.832825,67,56,-70.7944,5.85955
2.52464,132,122,-81.247,5.90955
1.13744,146,136,-76.8951,5.93955
0.905397,99,90,-74.1402,5.92955
0.852571,104,96,-71.1094,5.87955
1.98348,180,169,-80.5288,5.92955
1.86559,198,188,-77.4875,5.87955
2.21415,114,104,-80.8871,5.91955
2.41376,125,114,-78.612,5.85955
2.3334,92,78,-80.9388,5.90955
1.32615,189,179,-73.1303,5.83955
0.939194,210,202,-72.4848,5.88955
1.61378,176,158,-74.4609,5.82955
1.14946,95,86,-72.6863,5.84955
0.989235,181,166,-71.4851,5.83955
2.93357,77,67,-80.9899,5.87955
1.53707,128,119,-76.3087,5.88955
1.63452,110,99,-75.2773,5.84955
1.75003,167,149,-78.2396,5.88955
0.824219,106,99,-70.7378,5.87955
1.25422,109,98,-73.2277,5.84955
2.93464,95,84,-86.8722,5.99955
1.70197,114,106,-75.2716,5.84955
1.46425,90,81,-78.1431,5.92955
2.47674,58,50,-78.9492,5.87955
3.30475,92,82,-84.0818,5.92955
0.915762,198,184,-74.8064,5.92955
1.75779,99,84,-80.2146,5.92955
1.38021,97,90,-74.7112,5.88955
0.696196,92,85,-70.7224,5.90955
2.28568,150,137,-78.1377,5.84955
2.2594,135,126,-84.3162,5.99955
1.31166,111,102,-74.9301,5.87955
1.43355,163,152,-75.2118,5.86955
2.78177,133,122,-81.5332,5.89955
2.24834,141,133,-76.9881,5.84955
1.12263,74,63,-72.5901,5.85955
1.29431,128,118,-74.9395,5.87955
4.26937,176,164,-84.0318,5.87955
1.03652,166,157,-75.7013,5.93955
1.06872,133,126,-72.6073,5.87955
1.09064,125,116,-74.4036,5.89955
1.52243,147,137,-75.1106,5.85955
1.25751,173,163,-72.8566,5.83955
2.70148,208,190,-84.0106,5.93955
2.60483,213,202,-77.9893,5.82955
2.93394,150,133,-82.5997,5.89955
1.09094,199,185,-73.6164,5.86955
3.04991,160,150,-80.0813,5.85955
1.76511,85,72,-82.55,5.98955
2.47372,161,144,-80.8352,5.88955
1.24547,190,179,-75.509,5.89955
0.666828,114,107,-70.8699,5.91955
3.69695,252,236,-82.9111,5.86955
1.65831,146,133,-77.8758,5.89955
2.07127,194,176,-77.2128,5.83955
3.56503,145,133,-85.9271,5.94955
3.46044,162,151,-85.3104,5.93955
1.98067,213,197,-82.2588,5.94955
0.663498,108,95,-71.0206,5.89955
0.856934,136,125,-72.7367,5.89955
0.858753,50,42,-71.4629,5.88955
1.51705,149,141,-76.9436,5.90955
2.65406,103,94,-84.4772,5.96955
1.19746,176,164,-74.6301,5.87955
2.24235,139,131,-85.3489,5.99955
1.35718,171,157,-73.8307,5.83955
1.86851,69,58,-80.1728,5.92955
2.25173,125,114,-78.8905,5.87955
2.65921,64,57,-81.4344,5.91955
1.2052,204,194,-74.7345,5.88955
1.62604,195,187,-74.4935,5.83955
2.90555,116,106,-83.9411,5.94955
1.16774,78,71,-74.3955,5.89955
1.50475,84,74,-77.4443,5.90955
0.809072,171,162,-71.9698,5.89955
1.69994,116,105,-76.0396,5.85955
1.84476,219,206,-75.8456,5.83955
1.04139,70,57,-73.4093,5.87955
1.69884,188,171,-80.7553,5.94955
0.813103,160,147,-70.806,5.85955
2.55196,85,74,-79.8116,5.86955
3.54113,159,136,-83.805,5.88955
3.8927,232,210,-84.1559,5.87955
1.42578,67,56,-78.7094,5.93955
2.71329,114,101,-79.4637,5.85955
1.4211,172,161,-77.9595,5.92955
1.20056,46,39,-72.8637,5.86955
1.9361,173,161,-79.7434,5.90955
1.45568,202,188,-77.1916,5.89955
1.40378,148,134,-76.4917,5.89955
2.01154,96,87,-77.6842,5.86955
0.841208,116,107,-72.209,5.89955
1.89401,157,147,-78.345,5.88955
1.00254,143,129,-73.9986,5.89955
1.24452,98,91,-76.3048,5.92955
2.6256,212,200,-80.0684,5.86955
0.98539,199,187,-74.7668,5.91955
0.731066,167,155,-71.1394,5.88955
1.76277,125,111,-80.1143,5.92955
1.89622,218,206,-76.3606,5.84955
1.95201,201,188,-80.7946,5.92955
3.03565,193,180,-81.9361,5.87955
1.28639,97,90,-73.17,5.85955
2.02754,144,134,-78.191,5.87955
1.98647,113,102,-81.3456,5.94955
1.15906,176,161,-77.5244,5.93955
0.762924,96,85,-72.3872,5.90955
1.22839,149,139,-74.4702,5.87955
1.03767,112,100,-73.6159,5.88955
1.11972,192,179,-74.5721,5.88955
4.19467,213,195,-84.3599,5.87955
2.06959,89,76,-80.5353,5.91955
0.760265,73,64,-72.3208,5.91955
2.12031,164,151,-84.0963,5.98955
2.33039,172,154,-85.0035,5.97955
1.92444,144,136,-83.1179,5.99955
3.23259,161,147,-81.9804,5.86955
1.17083,164,150,-74.6182,5.87955
0.877708,81,69,-72.4962,5.88955
2.6342,122,113,-78.7918,5.84955
1.88691,194,185,-77.6561,5.87955
3.8275,142,128,-84.8838,5.90955
3.55624,140,125,-84.0929,5.90955
1.3257,98,90,-74.9803,5.88955
1.22143,136,126,-76.9863,5.92955
2.05627,155,146,-79.6957,5.90955
1.2694,157,150,-73.2594,5.85955
0.761868,102,94,-71.1089,5.89955
3.47525,98,84,-88.0854,5.98955
1.75496,76,66,-76.4617,5.86955
1.07579,67,58,-74.9617,5.91955
2.82892,163,152,-80.7224,5.86955
1.99791,152,138,-82.5304,5.95955
3.80171,116,105,-85.6715,5.93955
1.60184,179,166,-74.685,5.83955
1.61461,133,124,-74.8022,5.84955
1.95082,156,145,-76.4426,5.84955
1.43673,141,131,-75.371,5.86955
1.73879,165,154,-80.4349,5.94955
1.45338,102,90,-80.2922,5.96955
0.677292,171,161,-69.2343,5.86955
1.30776,126,118,-73.8876,5.85955
0.995302,124,115,-73.7899,5.90955
1.30088,153,142,-74.9533,5.87955
3.12736,153,141,-86.0374,5.96955
2.51248,160,141,-84.0102,5.94955
2.8383,81,70,-81.6346,5.89955
1.40973,188,173,-75.4987,5.86955
2.86188,177,160,-85.4018,5.95955
1.54119,108,97,-77.5199,5.90955
0.917421,205,195,-72.0575,5.87955
2.87636,205,194,-83.6913,5.92955
