dVmax,ADP90,ADP50,Vreps,tdV
2.86734,81,70,-80.3386,5.86955
0.742231,115,107,-70.717,5.88955
0.790964,81,72,-70.8115,5.87955
2.53352,64,55,-84.0054,5.96955
1.4115,134,127,-74.7177,5.86955
1.20641,131,115,-72.6339,5.83955
1.91825,164,154,-78.5252,5.88955
0.856014,90,83,-70.6939,5.87955
2.44797,131,121,-78.4874,5.84955
4.44489,196,177,-86.1597,5.89955
2.99729,137,126,-81.4946,5.88955
1.74296,125,114,-76.9652,5.87955
1.29425,131,124,-75.1697,5.89955
2.67751,185,172,-83.278,5.92955
1.64455,85,74,-75.4137,5.84955
2.47198,100,88,-83.2788,5.94955
3.41058,173,162,-84.2908,5.91955
2.62286,109,99,-78.6713,5.84955
3.58888,185,170,-84.5002,5.90955
0.818043,131,119,-70.76,5.85955
1.41212,72,61,-73.6948,5.83955
2.6812,166,155,-81.4363,5.89955
0.969242,61,53,-71.7707,5.87955
1.30514,90,76,-77.7757,5.92955
1.59476,204,189,-76.9655,5.87955
1.02223,163,154,-71.7068,5.85955
1.71391,177,167,-75.2468,5.83955
1.27713,234,224,-74.7734,5.87955
1.97766,167,150,-78.3553,5.86955
0.674734,152,144,-70.2403,5.89955
0.978167,187,178,-74.3302,5.91955
1.27143,93,84,-75.2413,5.89955
2.72106,211,200,-78.6031,5.83955
0.920996,147,134,-71.2613,5.84955
0.837593,110,98,-72.0439,5.88955
1.83102,83,72,-83.778,5.99955
1.51306,64,54,-80.4033,5.96955
1.45371,149,140,-75.0333,5.86955
2.02425,157,143,-82.7636,5.95955
1.23827,125,114,-75.411,5.88955
2.88724,241,230,-83.4286,5.92955
0.854134,136,122,-73.478,5.90955
1.56118,86,74,-76.5698,5.87955
2.97224,190,176,-79.3163,5.82955
3.11858,103,94,-80.5979,5.86955
3.20806,180,167,-84.7641,5.93955
2.11438,149,137,-81.488,5.93955
1.49995,162,149,-74.0898,5.83955
1.9831,219,206,-81.9439,5.94955
1.76058,189,176,-78.435,5.89955
2.87983,167,154,-82.9277,5.90955
1.62671,115,106,-75.6651,5.86955
3.18248,167,150,-86.0442,5.95955
1.03756,208,198,-74.8939,5.91955
1.59386,119,110,-74.9326,5.84955
3.37569,86,74,-82.1006,5.87955
2.33572,165,156,-81.8678,5.93955
3.04497,155,141,-81.1156,5.86955
0.897223,130,121,-72.7533,5.89955
1.31708,121,110,-78.1493,5.93955
2.03359,73,62,-78.2107,5.87955
2.21784,171,160,-80.4874,5.90955
1.12435,126,118,-73.4451,5.87955
0.913073,189,181,-73.1183,5.90955
1.792,144,135,-81.0493,5.96955
3.99731,130,115,-87.7984,5.95955
1.67252,190,176,-76.5803,5.86955
1.29237,160,153,-72.7997,5.84955
1.05502,135,125,-72.4651,5.85955
1.32695,115,103,-74.5864,5.86955
2.31762,118,104,-82.4735,5.93955
2.50269,66,55,-82.2399,5.92955
1.2306,193,181,-74.1814,5.86955
3.80187,164,149,-85.726,5.92955
2.62046,133,124,-80.1548,5.87955
3.94258,174,158,-85.6602,5.90955
1.57483,182,168,-74.5989,5.83955
1.33662,124,112,-73.5752,5.84955
0.95957,141,132,-72.5237,5.87955
1.39981,215,203,-74.8672,5.85955
1.5209,137,126,-79.2476,5.93955
1.91126,163,151,-83.5219,5.98955
3.55676,134,122,-83.8288,5.89955
3.0787,198,187,-84.7397,5.93955
2.68953,137,125,-78.9922,5.84955
1.9145,118,108,-83.6273,5.99955
1.35102,84,76,-74.6761,5.87955
1.68181,204,193,-75.6274,5.84955
3.31757,199,186,-83.1151,5.88955
3.33861,92,82,-84.3493,5.92955
0.959883,130,122,-71.13,5.85955
2.06643,186,174,-77.1007,5.84955
1.87465,158,149,-77.1257,5.87955
1.17932,155,145,-74.0104,5.86955
1.69273,160,147,-79.7821,5.92955
1.78178,251,235,-80.2786,5.92955
1.90672,105,95,-82.2808,5.97955
0.656931,116,103,-70.7819,5.89955
2.85777,93,83,-86.5431,5.99955
2.2403,138,128,-79.413,5.88955
2.19424,175,166,-77.4954,5.84955
1.6197,154,138,-80.1514,5.93955
1.60168,184,171,-81.3982,5.96955
1.60687,139,126,-75.9751,5.85955
1.9129,163,155,-77.6673,5.87955
1.05452,162,152,-75.5147,5.92955
0.763411,110,101,-70.6963,5.88955
0.765097,195,184,-72.1937,5.90955
1.87138,112,102,-80.7329,5.94955
