V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-69.7647,25.846157,530.5793,95.610855,99.14,2.17,11.22,11.98
-74.07288,25.177397,517.8711,99.25028,99.17,1.79,8.96,9.66
-71.773346,28.763912,531.1586,100.53726,99.12,2.2800000000000002,13.790000000000001,14.6
-78.971405,25.530943,516.7966,104.50235,99.13,2.7,12.120000000000001,12.98
-76.44552,27.477648,523.5521,103.923164,99.12,3.17,15.02,15.950000000000001
-75.87047,28.794466,526.63995,104.66493,99.13,3.46,16.93,17.900000000000002
-76.32372,27.266556,520.5917,103.59028,99.14,2.4,12.66,13.48
-83.44875,28.338179,519.58527,111.786934,99.16,4.97,18.82,19.98
-79.87908,25.116652,517.77924,104.995735,99.16,3.33,13.38,14.32
-71.6302,29.040169,534.0056,100.67037,99.10000000000001,2.81,15.84,16.72
-82.94535,25.812939,519.3346,108.758286,99.16,5.22,17.52,18.68
-85.339806,23.682798,512.12006,109.022606,99.16,3.42,12.17,13.13
-79.35556,28.134508,522.2505,107.49007,99.14,4.09,17.35,18.39
-84.525024,25.834274,513.63257,110.3593,99.16,3.45,13.57,14.540000000000001
-73.063385,26.049343,527.0094,99.11273,99.17,2.91,13.59,14.450000000000001
-72.35193,24.894894,523.2031,97.246826,99.08,2.06,10.06,10.790000000000001
-77.77116,25.162197,509.00708,102.93335,99.17,1.6300000000000001,7.8500000000000005,8.5
-77.50953,26.629648,523.40063,104.139175,99.14,4.04,16.32,17.330000000000002
-70.16036,27.238625,533.02856,97.39899,99.13,2.41,13.1,13.9
-75.978096,26.620354,525.0618,102.59845,99.17,3.81,15.99,16.97
-71.296974,27.18058,529.55206,98.477554,98.99,2.24,12.41,13.19
-71.4468,27.523863,531.5938,98.970665,98.98,2.7,14.22,15.07
-82.52332,22.858868,510.08426,105.38219,99.17,2.47,9.57,10.39
-80.72951,25.253477,519.87494,105.98299,99.15,4.53,16.01,17.09
-86.61989,23.061768,510.7093,109.681656,99.16,3.39,11.63,12.59
-72.25479,25.34688,518.33984,97.60167,99.09,1.53,7.78,8.41
-84.27058,28.376694,518.8188,112.64727,99.17,4.98,18.73,19.89
-82.874825,24.673641,515.6077,107.54846,99.17,3.71,13.63,14.63
-77.39416,27.489603,520.43384,104.88376,99.16,2.69,13.620000000000001,14.49
-80.93663,22.724955,506.50116,103.66158,99.17,1.8900000000000001,7.53,8.23
-77.29758,28.555044,525.3446,105.85262,99.14,4.03,17.89,18.92
-79.84855,27.253735,521.6333,107.10228,99.17,4.38,17.23,18.29
-80.6533,26.096596,515.09644,106.74989,99.16,2.71,12.36,13.23
-78.97912,28.02272,523.09106,107.00184,99.17,4.3,17.8,18.86
-81.15186,22.898417,508.9496,104.05028,99.15,2.12,8.540000000000001,9.290000000000001
-76.73658,29.352348,526.4165,106.08893,99.13,3.73,17.98,18.98
-78.434494,26.787333,519.5356,105.221825,99.14,3.0,13.84,14.75
-70.013855,27.850714,535.44543,97.86457,98.93,2.69,14.55,15.38
-71.06244,25.07524,525.7483,96.13768,99.08,2.02,10.06,10.790000000000001
-81.8776,24.791056,517.86035,106.668655,99.17,4.2,14.88,15.92
-75.73994,26.591385,521.46497,102.33132,99.17,2.5100000000000002,12.59,13.42
-82.52333,25.651983,519.5928,108.175316,99.15,5.19,17.42,18.57
-72.34934,25.021608,520.3192,97.37095,99.08,1.71,8.6,9.27
-73.85199,27.648994,525.67017,101.500984,99.09,2.44,13.280000000000001,14.11
-85.22032,23.69307,510.48166,108.91339,99.17,2.99,11.19,12.09
-72.8017,29.542406,531.35175,102.3441,99.03,2.6,15.530000000000001,16.4
-77.58793,27.159773,522.3235,104.7477,99.16,3.44,15.32,16.27
-82.447395,27.141806,519.4854,109.5892,99.17,4.74,17.52,18.64
-81.55274,23.69974,506.33337,105.25248,99.16,1.9100000000000001,8.03,8.73
-85.74948,26.518559,518.38074,112.268036,99.17,5.86,18.91,20.16
-84.73668,25.95033,512.76807,110.68701,99.17,3.25,13.17,14.120000000000001
-78.13935,24.051233,512.9593,102.19058,99.17,2.05,9.17,9.91
-77.36695,25.782158,518.597,103.14911,99.17,2.58,12.09,12.93
-76.82071,25.745289,522.2726,102.565994,99.17,3.44,14.38,15.32
-83.05831,21.93924,509.09024,104.99755,99.15,2.45,9.03,9.83
-76.44949,21.402208,507.27625,97.8517,99.17,1.55,5.78,6.390000000000001
-76.66428,24.630486,518.8938,101.29477,99.17,2.61,11.51,12.34
-72.78965,27.180178,525.4523,99.969826,99.12,2.1,11.790000000000001,12.55
-70.078514,27.612722,534.2234,97.69124,98.88,2.49,13.71,14.530000000000001
-79.63883,26.314949,520.9289,105.95378,99.17,4.21,16.18,17.22
-84.82799,25.644747,517.54083,110.47273,99.17,5.15,16.97,18.14
-79.352936,22.562437,510.91953,101.915375,99.15,2.1,8.46,9.200000000000001
-72.52675,26.182178,528.28125,98.70892,99.11,2.96,13.84,14.71
-75.81676,28.522053,524.8835,104.338806,99.15,2.91,15.26,16.16
-71.63619,26.971542,530.7234,98.607735,98.82000000000001,2.82,14.13,14.98
-71.71438,27.760181,527.91266,99.47456,99.10000000000001,1.98,11.78,12.530000000000001
-74.44275,22.975206,514.3904,97.41795,99.14,1.71,7.38,8.05
-81.98661,26.82385,518.1522,108.81046,99.15,3.99,15.75,16.78
-75.82094,26.035822,514.88043,101.85676,99.17,1.74,9.14,9.83
-75.56766,28.342201,523.2362,103.90986,99.11,2.43,13.69,14.52
-74.0447,28.73694,525.9666,102.78164,99.10000000000001,2.2800000000000002,13.620000000000001,14.43
-76.62383,25.028242,511.68024,101.65208,99.13,1.68,8.14,8.8
-74.00312,23.115372,511.86215,97.11849,99.16,1.5,6.3500000000000005,6.96
-74.45359,28.769802,527.1413,103.22339,99.14,2.74,15.11,15.99
-82.489365,28.080406,517.8407,110.56977,99.16,3.81,16.22,17.240000000000002
-73.89185,22.603662,509.49774,96.495514,99.17,1.4000000000000001,5.59,6.16
-87.046745,22.818508,507.80737,109.86525,99.15,2.87,10.22,11.09
-86.76979,27.02594,515.1609,113.79573,99.17,4.6000000000000005,16.47,17.580000000000002
-77.1182,27.494331,520.3433,104.61253,99.14,2.57,13.290000000000001,14.14
-73.760994,24.158007,513.551,97.919,99.12,1.51,6.95,7.57
-81.06796,27.456282,518.0924,108.52425,99.17,3.45,15.120000000000001,16.09
-80.18172,29.018888,522.71173,109.20061,99.17,4.48,18.89,19.990000000000002
-76.02644,25.825455,517.655,101.8519,99.14,2.07,10.49,11.24
-86.05758,25.800125,508.28152,111.857704,99.16,2.62,11.3,12.15
-78.53129,26.605026,520.6675,105.136314,99.15,3.45,14.82,15.780000000000001
-71.730034,25.011652,522.42224,96.741684,99.14,1.79,8.99,9.68
-77.81864,27.523243,523.3205,105.34189,99.14,3.86,16.57,17.57
-70.88674,28.186392,532.93146,99.073135,99.07000000000001,2.41,13.84,14.65
-85.44206,22.400421,509.01794,107.84248,99.17,2.82,10.05,10.92
-72.45114,26.379368,527.19574,98.830505,99.02,2.52,12.69,13.51
-73.55048,28.502115,529.8461,102.0526,99.06,3.15,16.15,17.06
-82.45941,22.264038,508.5762,104.72345,99.17,2.29,8.69,9.47
-74.36692,22.262236,510.7369,96.62916,99.16,1.51,6.03,6.640000000000001
-83.10923,26.087578,512.73425,109.19681,99.16,2.82,12.370000000000001,13.26
-71.91101,29.720222,534.91736,101.63123,99.12,2.94,16.87,17.77
-70.42639,23.002813,517.1892,93.42921,99.16,1.3800000000000001,5.84,6.42
-85.77468,27.879482,517.962,113.65416,99.16,5.36,18.87,20.080000000000002
-76.4371,28.089289,525.0191,104.52639,99.12,3.49,16.330000000000002,17.29
-75.0427,27.085083,525.57153,102.127785,99.09,3.22,15.0,15.92
-83.99747,25.093214,512.1629,109.09068,99.15,2.99,12.11,13.02
-82.63493,26.985556,520.074,109.62049,99.15,5.19,18.34,19.5
-69.82408,27.125324,533.1067,96.9494,99.06,2.2800000000000002,12.57,13.35
-77.32642,23.204107,514.39716,100.53053,99.14,2.15,9.14,9.9
-72.31756,27.217382,529.0848,99.53494,98.98,2.65,13.75,14.59
-81.43213,26.290243,518.70795,107.722374,99.16,4.09,15.67,16.7
-79.333275,27.810913,521.5682,107.14419,99.13,3.88,16.62,17.63
-74.41703,27.099062,524.45764,101.51609,99.14,2.5500000000000003,13.200000000000001,14.030000000000001
-78.28992,25.427885,521.4552,103.717804,99.14,3.97,15.23,16.23
-86.46608,24.54199,510.39774,111.00807,99.16,3.19,11.99,12.92
-79.210396,25.650671,518.8195,104.86107,99.17,3.3200000000000003,13.76,14.700000000000001
-72.31583,27.764668,531.3349,100.08049,99.07000000000001,3.14,15.63,16.53
-73.52166,25.85213,522.1439,99.373795,99.15,2.07,10.68,11.43
-77.1715,24.033573,510.74768,101.20508,99.13,1.73,7.8,8.47
-72.60149,25.84314,525.46796,98.444626,99.08,2.35,11.72,12.52
