V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-72.109955,23.096458,518.6747,95.20641,73.36,1.9000000000000001,7.58,8.16
-83.82476,24.41034,517.12354,108.2351,99.17,4.72,15.290000000000001,16.28
-74.78425,29.11707,526.6402,103.90132,43.35,1.8,12.75,13.5
-71.05435,24.963835,525.7027,96.01819,27.27,1.78,9.370000000000001,9.97
-71.53364,30.15145,535.6437,101.68509,84.62,2.88,15.620000000000001,16.45
-77.68697,26.73078,521.08826,104.417755,99.17,4.42,17.11,17.990000000000002
-72.38249,25.604193,522.03394,97.98669,99.13,1.78,9.3,9.99
-72.56557,18.29606,516.7543,90.861626,41.24,1.6300000000000001,5.72,6.43
-76.70186,34.090416,529.888,110.792274,54.82,2.54,20.650000000000002,21.61
-78.66324,20.08155,505.795,98.74479,56.26,1.58,5.25,5.87
-71.91251,34.863953,539.38965,106.77647,94.98,2.89,19.26,20.09
-71.75584,20.563444,513.56573,92.31928,94.17,1.45,5.2,5.73
-82.27847,26.223898,520.2141,108.50237,65.89,4.19,16.21,17.3
-82.00005,26.31162,515.7712,108.311676,67.72,2.52,12.16,13.09
-72.92702,35.420876,546.46893,108.34789,99.17,3.99,26.26,27.82
-74.198296,15.039625,507.80188,89.23792,98.97,1.47,4.15,4.71
-83.60326,24.026937,516.4944,107.630196,99.17,4.51,14.01,14.98
-83.67579,25.010656,518.07684,108.68645,99.14,4.51,15.77,16.79
-78.212135,19.514154,515.8338,97.72629,99.16,3.5100000000000002,10.39,11.370000000000001
-82.87982,33.689587,521.6719,116.56941,79.77,4.26,20.52,21.54
-76.925446,21.818918,519.6191,98.74436,36.21,2.43,9.97,10.69
-82.23775,15.28953,510.00177,97.527275,99.17,3.49,8.75,9.450000000000001
-82.78256,22.233873,512.8808,105.01643,75.2,2.48,9.8,10.64
-86.4053,33.360565,518.04144,119.76586,67.53,4.0600000000000005,19.3,20.34
-78.02692,15.933473,516.2145,93.96039,95.51,3.11,8.86,9.56
-70.02848,17.44337,517.3664,87.47185,66.7,1.68,5.2700000000000005,5.83
-81.277725,28.464544,515.91705,109.74227,99.17,3.27,14.96,15.780000000000001
-80.39571,20.44801,506.32236,100.84372,99.17,1.8800000000000001,6.83,7.57
-73.21008,29.197155,528.7192,102.40724,69.59,2.2800000000000002,13.8,14.6
-73.5636,17.186068,507.88803,90.749664,99.17,1.43,4.57,5.23
-73.647255,29.585527,520.5688,103.23278,99.10000000000001,1.67,10.75,11.41
-72.61998,31.436213,536.1312,104.05619,45.68,2.21,15.3,16.29
-74.58137,31.641884,534.305,106.22325,99.16,2.73,18.63,19.72
-72.2402,28.388401,532.8341,100.6286,83.23,2.18,14.56,15.43
-76.370766,30.38233,522.11,106.7531,99.16,1.93,13.120000000000001,13.99
-73.839226,25.237791,521.0708,99.07702,99.17,2.74,12.14,12.93
-75.17724,31.619223,532.5858,106.79646,99.17,3.91,21.830000000000002,22.87
-82.3189,20.738783,516.2654,103.057686,99.09,4.34,12.96,13.98
-86.93518,29.460545,510.5692,116.39572,99.14,2.85,14.32,15.31
-71.066154,24.465263,526.7391,95.53142,99.16,3.17,11.55,12.38
-74.233284,20.150698,520.22925,94.38398,99.16,3.41,11.58,12.36
-81.907425,18.121578,511.38327,100.02901,99.17,2.87,8.96,9.93
-77.43976,32.411476,524.47754,109.851234,98.88,1.8900000000000001,17.02,17.79
-80.53897,29.033241,519.8796,109.57221,49.1,1.97,14.200000000000001,15.22
-83.667175,32.24929,521.2555,115.916466,99.17,4.95,21.16,22.25
-84.2529,14.183607,506.58627,98.43651,99.17,2.47,6.46,7.17
-75.709694,24.088892,509.5881,99.798584,99.15,1.54,7.13,7.71
-72.356926,29.303703,529.86096,101.66063,99.15,2.36,13.69,14.65
-72.61286,32.57396,542.63275,105.18682,99.15,2.96,21.84,23.11
-81.644165,19.71208,515.56433,101.35625,99.17,3.75,10.98,12.09
-84.24235,14.354175,506.10657,98.59652,99.12,2.35,6.21,6.87
-78.0708,24.270893,521.26514,102.34169,68.95,3.68,14.66,15.71
-72.778786,28.639677,527.8908,101.418465,93.32000000000001,1.6400000000000001,11.75,12.6
-79.847435,26.703196,520.0744,106.55063,85.71000000000001,3.7600000000000002,14.66,15.75
-73.944115,25.237984,525.35284,99.1821,44.87,2.77,12.22,13.0
-75.65553,28.62916,520.53204,104.28469,99.16,2.66,13.52,14.36
-73.73166,23.699339,521.56976,97.431,99.17,2.7800000000000002,11.88,12.68
-79.562836,21.580984,508.305,101.14382,99.16,1.96,7.18,7.98
-72.110016,30.99918,535.58344,103.10919,99.16,2.08,16.47,17.39
-73.1639,25.000534,525.99567,98.16444,99.17,3.48,15.15,16.26
-78.812805,30.356016,523.1513,109.16882,99.17,5.0600000000000005,20.52,21.54
-81.53546,23.236343,519.73584,104.771805,44.96,3.15,13.55,14.83
-78.77703,16.608147,512.39166,95.38518,98.89,2.17,6.8500000000000005,7.72
-83.116295,20.372536,515.7221,103.48883,99.17,5.16,13.66,14.64
-83.98047,33.407257,522.51434,117.387726,99.17,5.61,24.97,26.39
-70.872826,24.660704,526.0774,95.53353,99.17,3.19,12.66,13.55
-78.12213,13.392437,502.01984,91.51457,99.15,1.6300000000000001,4.21,4.72
-79.371315,22.022068,512.69885,101.39339,99.17,2.2,9.040000000000001,9.85
-80.35526,22.390896,519.0926,102.746155,38.02,3.19,11.56,12.65
-74.119156,29.251938,530.08,103.37109,72.32000000000001,2.11,14.06,15.02
-80.52745,27.68742,522.2805,108.214874,42.13,3.7,16.580000000000002,17.79
-83.4487,20.307337,509.94302,103.756035,72.24,2.13,7.7700000000000005,8.61
-84.522224,32.42369,514.9639,116.945915,99.17,5.25,19.92,20.990000000000002
-76.12084,30.703485,529.5355,106.824326,99.17,4.15,20.330000000000002,21.64
-76.85226,30.46247,528.4327,107.31473,99.17,3.8200000000000003,21.46,22.68
-79.895584,17.942575,516.8944,97.83816,36.96,2.48,8.72,9.82
-77.45128,27.941954,523.861,105.393234,99.15,4.23,16.88,17.82
-75.584236,25.913973,521.1877,101.49821,99.17,3.39,13.35,14.23
-81.82373,30.692768,514.8905,112.516495,99.17,2.7600000000000002,14.96,15.83
-83.8621,22.423014,510.5116,106.28511,99.17,3.0300000000000002,10.42,11.41
-75.10655,29.65851,530.9969,104.76506,62.03,2.67,17.900000000000002,18.900000000000002
-77.48545,30.859537,524.8033,108.344986,99.16,4.65,18.8,19.8
-86.26559,26.727528,518.203,112.99312,45.92,4.61,17.53,18.88
-81.85377,30.713774,509.04114,112.56754,99.17,1.68,12.290000000000001,13.01
-74.064,20.964775,520.3235,95.02878,55.36,2.14,8.77,9.55
-81.77589,19.686443,512.90186,101.462326,99.14,3.06,9.98,10.78
-76.962685,14.868755,506.97586,91.831436,99.16,1.8800000000000001,5.14,5.67
-84.81541,25.448723,517.9582,110.26413,40.17,3.68,14.15,15.14
-70.50537,22.335655,525.1275,92.84103,98.87,2.2800000000000002,9.05,9.84
-84.75858,24.899271,516.67194,109.65785,99.13,4.34,15.870000000000001,17.06
-70.16414,31.44294,543.94275,101.60708,36.27,1.71,16.05,16.81
-69.53416,21.616528,519.74066,91.15068,82.53,1.57,6.22,6.74
-75.424446,23.225027,518.29913,98.649475,99.17,3.12,11.76,12.77
-81.92965,25.570906,518.9387,107.50056,99.16,5.73,17.85,18.92
-87.43131,20.939608,509.59692,108.37092,99.17,2.83,9.27,10.24
-84.85909,25.914253,513.0781,110.773346,95.65,2.75,12.38,13.25
-79.79704,20.187305,517.0063,99.984344,99.17,4.69,12.55,13.41
-74.59185,33.992546,540.3404,108.5844,99.17,2.33,22.400000000000002,23.62
-77.20176,21.600842,513.96094,98.8026,99.15,2.16,8.78,9.47
-71.05916,28.350033,533.993,99.409195,99.16,3.41,17.240000000000002,18.09
-72.33948,23.072102,523.47144,95.411575,35.7,2.39,10.15,10.8
-70.44397,32.020676,539.81903,102.464645,62.51,2.37,16.15,17.0
-74.62875,13.926856,504.32663,88.55561,45.68,1.25,3.3200000000000003,3.79
-79.865395,22.762928,515.53406,102.62833,99.17,3.83,12.370000000000001,13.200000000000001
-74.46405,19.905231,521.19226,94.36928,37.34,2.0300000000000002,8.59,9.59
-80.5853,17.564732,513.61926,98.150024,99.17,3.99,10.72,11.67
-78.53795,25.070658,520.0252,103.608604,99.17,4.25,15.49,16.38
-82.59184,29.227152,514.57367,111.81899,99.15,2.43,13.6,14.540000000000001
-73.074455,22.886774,520.91974,95.96123,99.13,2.52,9.790000000000001,10.6
-72.21946,32.812202,541.74603,105.03166,99.17,4.15,22.64,23.75
-77.597565,19.730278,517.82513,97.32784,42.03,2.77,8.96,9.68
-77.5757,31.902678,518.28766,109.47838,99.17,1.93,12.97,13.790000000000001
-76.26949,33.45794,530.5535,109.72743,99.17,4.2,23.22,24.2
-85.623055,30.000551,506.33795,115.623604,99.16,2.0100000000000002,12.93,13.69
-73.612335,18.079447,506.4118,91.69178,43.59,1.32,3.89,4.3500000000000005
-75.311066,30.478529,529.1172,105.7896,49.230000000000004,2.58,16.01,16.82
-74.30053,20.822971,510.0722,95.123505,99.15,1.52,5.55,6.23
-84.1028,24.245686,517.61993,108.34848,53.44,3.93,13.94,14.97
-72.549,29.774755,532.62054,102.32376,79.83,2.48,15.64,16.57
-79.10315,25.013205,521.2148,104.116356,97.04,3.79,15.120000000000001,16.11
-84.612915,26.409601,518.15015,111.022514,99.07000000000001,5.05,17.900000000000002,18.990000000000002
-86.2995,33.079212,517.94037,119.37871,99.14,4.38,20.900000000000002,21.92
-82.70757,23.551945,515.9988,106.25952,99.17,5.24,15.9,17.11
-78.21493,29.678045,525.0704,107.892975,99.15,3.72,18.98,20.01
-71.00227,26.73958,530.6361,97.74185,99.16,3.0300000000000002,14.21,15.200000000000001
-84.0226,28.308622,518.99817,112.33122,99.17,6.74,21.05,22.35
-75.088745,22.987146,519.0465,98.07589,99.15,2.42,9.620000000000001,10.49
-80.53054,11.483064,500.9586,92.0136,99.17,1.94,4.66,5.22
-75.79733,20.831505,519.10547,96.62884,66.76,2.41,9.27,10.120000000000001
-71.73863,25.647526,525.95087,97.386154,99.17,2.41,11.92,12.64
-74.82291,25.768555,519.4852,100.59146,65.08,1.85,9.64,10.34
-82.32794,27.265253,514.54755,109.59319,99.16,3.42,14.22,15.09
-77.66002,28.609953,518.7826,106.26997,99.14,2.72,13.08,13.9
-74.46217,31.839725,529.3124,106.301895,54.2,2.04,13.72,14.55
-79.41973,21.634613,518.0504,101.054344,99.17,5.69,15.18,16.27
-74.05985,28.250715,522.0791,102.31057,99.11,2.15,12.17,12.950000000000001
-75.76469,21.203936,516.58777,96.96862,48.86,2.16,8.19,8.82
-82.09695,19.841505,513.68,101.93845,99.17,4.07,11.27,12.08
-70.66912,29.369047,533.4648,100.03817,36.92,1.94,13.1,13.83
-78.42355,30.021976,525.05646,108.445526,99.17,5.14,21.52,22.67
-78.89865,24.33933,520.49945,103.23798,99.17,4.6000000000000005,15.51,16.53
-72.91524,23.899563,522.1551,96.814804,40.160000000000004,1.83,9.040000000000001,9.77
-76.09652,16.249926,508.67487,92.34644,54.53,1.56,4.54,5.11
-86.56738,21.837893,515.2462,108.40527,68.32000000000001,4.2,12.96,13.97
-74.68813,32.77931,531.9396,107.46744,99.17,3.94,20.13,20.97
-77.73596,28.553637,523.59375,106.2896,99.17,4.29,17.54,18.71
-81.502846,27.058372,517.12256,108.56122,55.65,3.13,13.49,14.31
-73.723335,25.539608,514.2599,99.26294,99.17,1.6400000000000001,8.59,9.17
-85.01221,30.097454,519.77893,115.109665,99.17,6.65,22.31,23.73
-78.648186,24.775116,518.5614,103.4233,99.17,4.9,15.74,16.62
-74.40717,25.781296,515.41046,100.18847,55.18,1.3800000000000001,7.3,7.92
-76.0634,28.620174,522.61694,104.68358,99.17,3.36,16.77,17.62
-74.76339,24.271631,512.0692,99.03502,99.17,1.54,7.9,8.620000000000001
-73.54275,21.532433,508.88757,95.07518,99.16,1.52,5.44,5.97
-74.89862,21.729227,522.2127,96.627846,99.15,3.35,12.0,13.14
-82.634,26.984232,516.21783,109.61823,99.17,3.58,14.43,15.620000000000001
-87.98586,15.781944,501.76346,103.76781,99.17,2.31,5.78,6.51
-72.51832,23.807777,522.4535,96.326096,99.17,2.63,10.9,11.65
-72.37393,25.102497,524.09564,97.476425,99.13,2.25,10.72,11.450000000000001
-81.168434,21.799223,515.699,102.96766,99.15,3.2800000000000002,11.620000000000001,12.64
-85.73479,21.274202,513.6651,107.00899,85.13,3.31,11.3,12.38
-83.89514,24.56194,514.70844,108.45708,98.82000000000001,3.09,12.66,13.530000000000001
