dVmax,ADP90,ADP50,Vreps,tdV
2.4386,154,141,-87.4139,5.99955
4.48643,259,241,-87.2942,5.92955
4.91225,230,216,-87.2923,5.91955
3.75575,230,217,-87.3971,5.95955
4.60381,191,178,-87.4128,5.92955
3.24144,216,203,-87.1658,5.97955
3.54993,231,217,-87.3017,5.96955
4.65639,192,178,-87.3694,5.92955
4.69503,240,225,-87.5612,5.92955
2.67943,210,198,-87.243,5.99955
4.09577,223,209,-87.4823,5.94955
4.33274,276,259,-87.5495,5.93955
4.64164,233,220,-87.1514,5.91955
2.77921,242,222,-87.7905,5.99955
5.07425,270,249,-87.9104,5.91955
2.41756,222,209,-87.2616,5.99955
3.70184,258,240,-87.7653,5.95955
4.64852,185,167,-87.7906,5.92955
3.21225,177,164,-87.3334,5.98955
3.88385,220,199,-88.171,5.95955
3.6561,178,166,-87.2571,5.96955
3.42375,259,237,-87.4701,5.96955
2.71411,242,224,-87.6717,5.99955
4.51401,238,223,-87.6233,5.92955
4.25742,217,202,-87.5797,5.93955
2.59391,226,210,-87.4501,5.99955
3.63001,239,226,-87.3514,5.96955
4.65475,257,238,-87.6689,5.92955
2.6034,241,220,-87.6358,5.99955
4.19744,213,200,-87.3907,5.94955
2.46403,241,228,-87.1964,5.99955
4.15709,213,200,-87.2927,5.94955
3.85056,153,136,-87.7484,5.95955
4.55611,208,194,-87.252,5.92955
3.41298,245,232,-87.3262,5.97955
3.07922,266,252,-87.2001,5.98955
3.10035,210,187,-88.1163,5.98955
4.74881,223,207,-87.4069,5.91955
3.83292,164,148,-87.8149,5.95955
2.66157,211,191,-87.9196,5.99955
3.69837,228,213,-87.6086,5.96955
3.94601,224,206,-87.559,5.94955
3.02702,241,218,-88.1199,5.99955
4.22281,240,224,-87.3867,5.93955
2.46223,178,158,-88.118,5.99955
3.85146,250,235,-87.3097,5.95955
4.01377,236,220,-87.6256,5.94955
3.21873,186,171,-87.6517,5.98955
2.9333,250,233,-87.4172,5.99955
4.28269,230,215,-87.5728,5.93955
3.67862,228,208,-88.0082,5.96955
4.78276,244,225,-87.4169,5.91955
3.35129,228,214,-87.2893,5.96955
3.29601,239,227,-87.2833,5.98955
3.98533,232,220,-87.3604,5.95955
2.68539,258,246,-87.3311,5.99955
3.71936,172,156,-87.5524,5.95955
3.5743,196,181,-87.3989,5.96955
4.33634,281,258,-87.7683,5.93955
4.83014,209,197,-87.3377,5.91955
2.55488,276,261,-87.2925,5.99955
4.45048,218,206,-87.2951,5.93955
3.41835,238,218,-87.6499,5.96955
4.92409,206,193,-87.3695,5.91955
3.81863,229,215,-87.3955,5.95955
4.57968,242,228,-87.2772,5.92955
4.81584,237,221,-87.4515,5.91955
2.48777,193,178,-87.282,5.99955
3.70378,246,230,-87.5484,5.95955
3.53584,210,192,-87.8498,5.96955
4.24786,197,179,-87.8097,5.93955
3.46187,185,167,-87.6819,5.96955
4.07491,226,209,-87.3706,5.93955
4.17571,234,214,-88.095,5.94955
3.57366,177,154,-87.8633,5.96955
2.39459,205,193,-87.2179,5.99955
4.87591,306,282,-87.4821,5.90955
3.22907,196,182,-87.2123,5.97955
2.4554,161,149,-87.3574,5.99955
4.4445,239,217,-87.851,5.92955
3.58919,268,250,-87.4264,5.95955
4.89558,254,237,-87.6012,5.91955
3.29128,235,221,-87.419,5.97955
3.66436,149,137,-87.463,5.96955
4.82036,191,176,-87.2943,5.91955
3.33324,231,217,-87.4902,5.97955
4.59258,191,172,-87.7404,5.92955
3.99393,247,226,-87.5025,5.94955
4.75473,288,266,-87.2356,5.90955
4.31587,190,169,-87.6987,5.93955
3.28902,192,170,-88.3042,5.98955
4.35737,204,188,-87.3392,5.92955
2.67269,196,183,-87.5429,5.99955
3.96128,194,181,-87.4426,5.95955
3.47966,246,233,-87.2976,5.96955
4.4511,180,166,-87.3108,5.92955
4.97557,207,192,-87.5214,5.91955
4.27073,246,219,-87.7574,5.93955
3.11179,195,183,-87.1221,5.98955
4.2686,177,164,-87.4859,5.93955
4.83543,192,179,-87.14,5.91955
5.08231,175,156,-87.866,5.90955
4.68103,195,175,-87.8026,5.91955
3.80507,233,219,-87.4154,5.95955
3.76821,196,182,-87.3189,5.95955
4.88274,205,188,-87.4703,5.91955
4.13153,228,213,-87.6942,5.94955
3.02426,227,213,-87.5133,5.99955
3.2462,256,240,-87.1957,5.97955
4.93209,242,224,-87.5352,5.91955
4.29955,244,227,-87.811,5.93955
4.80842,210,191,-87.8103,5.91955
4.71109,199,187,-87.2809,5.92955
3.08844,221,201,-87.8374,5.98955
3.64961,173,155,-87.6535,5.95955
4.69045,196,182,-87.4881,5.92955
2.86618,216,204,-87.3439,5.99955
2.7384,247,232,-87.2847,5.99955
2.73963,163,141,-88.1156,5.99955
4.86825,229,209,-88.0953,5.91955
3.38826,280,260,-87.4,5.96955
2.88679,248,232,-87.379,5.99955
